hmm,param,layer,seed,target,R2
Wing,"x=0.9, y=0.4",0,0,act→ntp,0.9692330904564649
Wing,"x=0.9, y=0.4",1,0,act→ntp,0.9818196392222027
Wing,"x=0.9, y=0.4",2,0,act→ntp,0.9901960886880188
Wing,"x=0.9, y=0.4",3,0,act→ntp,0.9943667447524372
Wing,"x=0.9, y=0.4",4,0,act→ntp,0.9965193078598613
Wing,"x=0.9, y=0.4",5,0,act→ntp,0.9958975656223044
Wing,"x=0.9, y=0.4",6,0,act→ntp,0.9969035379261515
Wing,"x=0.9, y=0.4",7,0,act→ntp,0.9969943962191722
Wing,"x=0.9, y=0.4",8,0,act→ntp,0.9965169142485971
Wing,"x=0.9, y=0.4",9,0,act→ntp,0.9942744873333816
Wing,"x=0.9, y=0.4",10,0,act→ntp,0.9920686362497867
Wing,"x=0.9, y=0.4",11,0,act→ntp,0.9889555784255283
Wing,"x=0.9, y=0.4",12,0,act→ntp,0.9833348170619328
Wing,"x=0.9, y=0.4",13,0,act→ntp,0.9748113494726781
Wing,"x=0.9, y=0.4",14,0,act→ntp,0.961598450973101
Wing,"x=0.9, y=0.4",15,0,act→ntp,0.9502263381283849
Wing,"x=0.9, y=0.4",16,0,act→ntp,0.9297659681367727
Wing,"x=0.9, y=0.4",17,0,act→ntp,0.9275269063815582
Wing,"x=0.9, y=0.4",18,0,act→ntp,0.9340191195752224
Wing,"x=0.9, y=0.4",19,0,act→ntp,0.9447461185813205
Wing,"x=0.9, y=0.4",20,0,act→ntp,0.9560962644283819
Wing,"x=0.9, y=0.4",21,0,act→ntp,0.9688555106036212
Wing,"x=0.9, y=0.4",22,0,act→ntp,0.9784646575464199
Wing,"x=0.9, y=0.4",23,0,act→ntp,0.9884116405358079
Wing,"x=0.9, y=0.4",24,0,act→ntp,0.9889082505140184
Wing,"x=0.9, y=0.4",25,0,act→ntp,0.9900212811212188
Wing,"x=0.9, y=0.4",26,0,act→ntp,0.9898334113931777
Wing,"x=0.9, y=0.4",27,0,act→ntp,0.9900892484525111
Wing,"x=0.9, y=0.4",28,0,act→ntp,0.9895039372385706
Wing,"x=0.9, y=0.4",29,0,act→ntp,0.990489900362672
Wing,"x=0.9, y=0.4",30,0,act→ntp,0.9908298212337179
Wing,"x=0.9, y=0.4",31,0,act→ntp,0.9907658181499139
Wing,"x=0.9, y=0.4",32,0,act→ntp,0.9901755136273492
Wing,"x=0.9, y=0.4",33,0,act→ntp,0.9903769597048635
Wing,"x=0.9, y=0.4",34,0,act→ntp,0.9895903126455063
Wing,"x=0.9, y=0.4",35,0,act→ntp,0.9896088227371905
Wing,"x=0.9, y=0.4",36,0,act→ntp,0.9898305412506092
Wing,"x=0.9, y=0.4",37,0,act→ntp,0.9889078862688261
Wing,"x=0.9, y=0.4",38,0,act→ntp,0.9886103472429937
Wing,"x=0.9, y=0.4",39,0,act→ntp,0.9880349425397458
Wing,"x=0.9, y=0.4",40,0,act→ntp,0.9882876972083723
Wing,"x=0.9, y=0.4",41,0,act→ntp,0.9890092155841205
Wing,"x=0.9, y=0.4",0,0,act→log_ntp,0.9611756945714076
Wing,"x=0.9, y=0.4",1,0,act→log_ntp,0.9799285926854878
Wing,"x=0.9, y=0.4",2,0,act→log_ntp,0.9867530506748284
Wing,"x=0.9, y=0.4",3,0,act→log_ntp,0.9907942045326876
Wing,"x=0.9, y=0.4",4,0,act→log_ntp,0.9944764216767534
Wing,"x=0.9, y=0.4",5,0,act→log_ntp,0.993373199537315
Wing,"x=0.9, y=0.4",6,0,act→log_ntp,0.9952797054225353
Wing,"x=0.9, y=0.4",7,0,act→log_ntp,0.995193544267426
Wing,"x=0.9, y=0.4",8,0,act→log_ntp,0.9947605622289164
Wing,"x=0.9, y=0.4",9,0,act→log_ntp,0.9908258648225721
Wing,"x=0.9, y=0.4",10,0,act→log_ntp,0.9881080959487345
