hmm,param,layer,seed,target,R2
Wing,"x=0.9, y=0.4",0,0,act→ntp,0.9743289135620853
Wing,"x=0.9, y=0.4",1,0,act→ntp,0.9809454439137772
Wing,"x=0.9, y=0.4",2,0,act→ntp,0.987723043215671
Wing,"x=0.9, y=0.4",3,0,act→ntp,0.9974496818271686
Wing,"x=0.9, y=0.4",4,0,act→ntp,0.9984865300731128
Wing,"x=0.9, y=0.4",5,0,act→ntp,0.9984878686057277
Wing,"x=0.9, y=0.4",6,0,act→ntp,0.998407381886458
Wing,"x=0.9, y=0.4",7,0,act→ntp,0.9979748975482344
Wing,"x=0.9, y=0.4",8,0,act→ntp,0.9969926304515948
Wing,"x=0.9, y=0.4",9,0,act→ntp,0.9961199999596866
Wing,"x=0.9, y=0.4",10,0,act→ntp,0.9962376432831039
Wing,"x=0.9, y=0.4",11,0,act→ntp,0.9959397492551433
Wing,"x=0.9, y=0.4",12,0,act→ntp,0.996047283747465
Wing,"x=0.9, y=0.4",13,0,act→ntp,0.9961071158130133
Wing,"x=0.9, y=0.4",14,0,act→ntp,0.9964893449270953
Wing,"x=0.9, y=0.4",15,0,act→ntp,0.9964405391523378
Wing,"x=0.9, y=0.4",16,0,act→ntp,0.9964497829011015
Wing,"x=0.9, y=0.4",17,0,act→ntp,0.9964721880884614
Wing,"x=0.9, y=0.4",18,0,act→ntp,0.9965875685728547
Wing,"x=0.9, y=0.4",19,0,act→ntp,0.9966200288446042
Wing,"x=0.9, y=0.4",20,0,act→ntp,0.9966903846521251
Wing,"x=0.9, y=0.4",21,0,act→ntp,0.9968778285145465
Wing,"x=0.9, y=0.4",22,0,act→ntp,0.9968090525863139
Wing,"x=0.9, y=0.4",23,0,act→ntp,0.9968664451676132
Wing,"x=0.9, y=0.4",24,0,act→ntp,0.9969472709704009
Wing,"x=0.9, y=0.4",25,0,act→ntp,0.9969299268741352
Wing,"x=0.9, y=0.4",26,0,act→ntp,0.9968728615657719
Wing,"x=0.9, y=0.4",27,0,act→ntp,0.9962006747924274
Wing,"x=0.9, y=0.4",0,0,act→log_ntp,0.9704872922726444
Wing,"x=0.9, y=0.4",1,0,act→log_ntp,0.9813077974467094
Wing,"x=0.9, y=0.4",2,0,act→log_ntp,0.9839273265858681
Wing,"x=0.9, y=0.4",3,0,act→log_ntp,0.9956728052159274
Wing,"x=0.9, y=0.4",4,0,act→log_ntp,0.9976868003899528
Wing,"x=0.9, y=0.4",5,0,act→log_ntp,0.9975801582663638
Wing,"x=0.9, y=0.4",6,0,act→log_ntp,0.9977383958364437
Wing,"x=0.9, y=0.4",7,0,act→log_ntp,0.9972307792990579
