hmm,param,k,mean,std
Arch,a=0.9,1,0.026130133599865657,0.0010463888302584248
Arch,a=0.9,2,0.015325281637285415,0.000705031991921009
Arch,a=0.9,3,0.009147179998265541,0.0004913154101542568
Arch,a=0.9,4,0.005608969235386216,0.00037288734867297707
Arch,a=0.9,5,0.0035409025857324984,0.00028682734808095715
Arch,a=0.9,6,0.0022651483705151236,0.0002519419420031312
Arch,a=0.9,7,0.0015122601726706522,0.00023212927154812714
Arch,a=0.9,8,0.0010442217296757453,0.00021657158213860954
Arch,a=0.9,9,0.0007351142913228032,0.00019873028738942543
Arch,a=0.9,10,0.000520085495013572,0.0001783754879554254
Arch,a=0.9,11,0.00036981729912624037,0.00016447154893379313
Arch,a=0.9,12,0.00026927163004453685,0.00014243160019989723
Arch,a=0.9,13,0.00018816904980469153,0.00012043067515291842
Arch,a=0.9,14,0.00013089999782524295,9.723133724433278e-05
Arch,a=0.9,15,9.319630489391115e-05,6.875951526964214e-05
Arch,a=0.9,16,6.37136476982217e-05,4.0814688048449635e-05
Arch,a=0.9,17,4.8837880786713164e-05,3.7697822865042925e-05
Arch,a=0.9,18,3.732975437791629e-05,3.362211176108439e-05
Arch,a=0.9,19,2.774953530403345e-05,2.752519727151592e-05
Arch,a=0.9,20,1.9962155277837815e-05,1.9896540388418438e-05
Mess3,"a=0.01, x=0.02",1,0.1754504673373143,0.0013813667825876342
Mess3,"a=0.01, x=0.02",2,0.0878972992778069,0.0008387414572867992
Mess3,"a=0.01, x=0.02",3,0.042222939726401135,0.0008288138176534721
Mess3,"a=0.01, x=0.02",4,0.020413239489293473,0.0006364562985229165
Mess3,"a=0.01, x=0.02",5,0.009874650044216227,0.000600739557940222
Mess3,"a=0.01, x=0.02",6,0.004810112590236766,0.00035704862015535887
Mess3,"a=0.01, x=0.02",7,0.002326804013418368,0.0002026291289265248
Mess3,"a=0.01, x=0.02",8,0.0011422004670924493,0.00011824530972246393
Mess3,"a=0.01, x=0.02",9,0.0005708667682363368,9.184265765939353e-05
Mess3,"a=0.01, x=0.02",10,0.0002851909547232973,6.623549078344903e-05
Mess3,"a=0.01, x=0.02",11,0.0001501734147332559,4.4200682814446075e-05
Mess3,"a=0.01, x=0.02",12,7.338982994234099e-05,2.322852926460028e-05
Mess3,"a=0.01, x=0.02",13,3.3229347988245455e-05,1.2980892750268055e-05
Mess3,"a=0.01, x=0.02",14,1.3469781359902786e-05,7.569423463622359e-06
Mess3,"a=0.01, x=0.02",15,5.47478882969182e-06,3.6448396784988194e-06
Mess3,"a=0.01, x=0.02",16,1.7093154711502088e-06,9.13813770285952e-07
Mess3,"a=0.01, x=0.02",17,8.176636565545065e-07,6.518359708706208e-07
Mess3,"a=0.01, x=0.02",18,3.8927195992697253e-07,3.7732539683737665e-07
Mess3,"a=0.01, x=0.02",19,1.4698153298561686e-07,1.347280072947069e-07
Mess3,"a=0.01, x=0.02",20,4.782391719286494e-08,5.1520173765271953e-08
Strata,"a=0.97, t0=0.38, t1=0.54",1,0.07506814255575724,0.004740734997808405
Strata,"a=0.97, t0=0.38, t1=0.54",2,0.052288440340548616,0.0023531093844259493
Strata,"a=0.97, t0=0.38, t1=0.54",3,0.03417232598661451,0.0012145638253153418
Strata,"a=0.97, t0=0.38, t1=0.54",4,0.020808252653367023,0.0008371501171971642
Strata,"a=0.97, t0=0.38, t1=0.54",5,0.011985999642426883,0.0006519947790054978
Strata,"a=0.97, t0=0.38, t1=0.54",6,0.006651580095905106,0.00039606368133707323
Strata,"a=0.97, t0=0.38, t1=0.54",7,0.00358864321430218,0.0002170518155979388
Strata,"a=0.97, t0=0.38, t1=0.54",8,0.0019966376248997443,9.616810722927633e-05
Strata,"a=0.97, t0=0.38, t1=0.54",9,0.001179990219361228,4.411960829524699e-05
Strata,"a=0.97, t0=0.38, t1=0.54",10,0.0007736646553257725,4.396164500062556e-05
Strata,"a=0.97, t0=0.38, t1=0.54",11,0.0005665530084664241,4.3812449314476596e-05
Strata,"a=0.97, t0=0.38, t1=0.54",12,0.0004526493384361811,4.2034900694655494e-05
Strata,"a=0.97, t0=0.38, t1=0.54",13,0.0003814478364212937,3.963615212639863e-05
Strata,"a=0.97, t0=0.38, t1=0.54",14,0.0003315465357422994,3.678254968472104e-05
Strata,"a=0.97, t0=0.38, t1=0.54",15,0.0002922860817382197,3.372903569183564e-05
Strata,"a=0.97, t0=0.38, t1=0.54",16,0.00025948822976768794,3.069001841893981e-05
Strata,"a=0.97, t0=0.38, t1=0.54",17,0.00023110001933994401,2.7832737738060478e-05
Strata,"a=0.97, t0=0.38, t1=0.54",18,0.0002063182114405609,2.540499851001718e-05
Strata,"a=0.97, t0=0.38, t1=0.54",19,0.00018447470795225678,2.2840327591363546e-05
Strata,"a=0.97, t0=0.38, t1=0.54",20,0.00016494012371713046,2.055150207840216e-05
Wing,"x=0.98, y=0.4",1,0.0818742151342615,0.004592448879782647
Wing,"x=0.98, y=0.4",2,0.055832121603753816,0.004122266581457415
Wing,"x=0.98, y=0.4",3,0.03603943545827489,0.0031225939889408146
Wing,"x=0.98, y=0.4",4,0.022349062892389342,0.0019585026805040697
Wing,"x=0.98, y=0.4",5,0.013431177999484536,0.0010220731447671356
Wing,"x=0.98, y=0.4",6,0.008168550365102636,0.00044059134249053257
Wing,"x=0.98, y=0.4",7,0.005076838898592789,0.0002547516534376428
Wing,"x=0.98, y=0.4",8,0.003273138093785345,0.00022602581318470355
Wing,"x=0.98, y=0.4",9,0.002203692427315892,0.00018920920678506162
Wing,"x=0.98, y=0.4",10,0.001507139542380394,0.00013784184056921464
Wing,"x=0.98, y=0.4",11,0.0010467456326634238,0.00011426502998005704
Wing,"x=0.98, y=0.4",12,0.0007379966423871427,0.00010527638060409011
Wing,"x=0.98, y=0.4",13,0.000506763565938768,0.00010676217046523018
Wing,"x=0.98, y=0.4",14,0.0003660241978827353,8.184642935475592e-05
Wing,"x=0.98, y=0.4",15,0.0002653550351593557,5.755436256842759e-05
Wing,"x=0.98, y=0.4",16,0.00020096516425245105,3.935824327382757e-05
Wing,"x=0.98, y=0.4",17,0.00016146889858737417,3.1452399212468634e-05
Wing,"x=0.98, y=0.4",18,0.00013829480655123686,2.8962967583027086e-05
Wing,"x=0.98, y=0.4",19,0.00012431165430815748,2.733327299758238e-05
Wing,"x=0.98, y=0.4",20,0.00011501290644538478,2.6121065309349565e-05
