hmm,param,layer,seed,target,R2
Spiral,a=0.01,0,0,real,0.34879843407506195
Spiral,a=0.01,1,0,real,0.4455659137861251
Spiral,a=0.01,2,0,real,0.5024565762628985
Spiral,a=0.01,3,0,real,0.6817773097738304
Spiral,a=0.01,4,0,real,0.6452116763617749
Spiral,a=0.01,5,0,real,0.6826309779042687
Spiral,a=0.01,6,0,real,0.6755814428488429
Spiral,a=0.01,7,0,real,0.6779139538889507
Spiral,a=0.01,8,0,real,0.7329079397257571
Spiral,a=0.01,9,0,real,0.7393025413188103
Spiral,a=0.01,10,0,real,0.7240485797471494
Spiral,a=0.01,11,0,real,0.7071951041087225
Spiral,a=0.01,12,0,real,0.6185882311014483
Spiral,a=0.01,13,0,real,0.3108460520894535
Spiral,a=0.01,14,0,real,-0.08344431726126045
Spiral,a=0.01,15,0,real,-0.16639867689621912
Spiral,a=0.01,16,0,real,-0.16580459418308058
Spiral,a=0.01,17,0,real,-0.30061785329466195
Spiral,a=0.01,18,0,real,-0.37181977559649804
Spiral,a=0.01,19,0,real,-0.37106556571256655
Spiral,a=0.01,20,0,real,-0.3729221196473613
Spiral,a=0.01,21,0,real,-0.07036249712565068
Spiral,a=0.01,22,0,real,0.23402907235457127
Spiral,a=0.01,23,0,real,0.46138935109464074
Spiral,a=0.01,24,0,real,0.5142141046945625
Spiral,a=0.01,25,0,real,0.5269244867657499
Spiral,a=0.01,26,0,real,0.5012580468145906
Spiral,a=0.01,27,0,real,0.5247211320469743
Spiral,a=0.01,28,0,real,0.4955547739776498
Spiral,a=0.01,29,0,real,0.5701576410176719
Spiral,a=0.01,30,0,real,0.5765121199055528
Spiral,a=0.01,31,0,real,0.5846061180700906
Spiral,a=0.01,32,0,real,0.5996703150044493
Spiral,a=0.01,33,0,real,0.6119638027742366
Spiral,a=0.01,34,0,real,0.6313740099177023
Spiral,a=0.01,35,0,real,0.640175004088031
Spiral,a=0.01,36,0,real,0.6414012618408952
Spiral,a=0.01,37,0,real,0.6494204996476838
Spiral,a=0.01,38,0,real,0.6536877796543459
Spiral,a=0.01,39,0,real,0.6558897706860122
Spiral,a=0.01,40,0,real,0.646233896218926
Spiral,a=0.01,41,0,real,0.6476483427928772
Spiral,a=0.01,0,0,shuffle,-0.016270200984550343
Spiral,a=0.01,1,0,shuffle,-0.03171240253630314
Spiral,a=0.01,2,0,shuffle,-0.06321422684006373
Spiral,a=0.01,3,0,shuffle,-0.09491704661117639
Spiral,a=0.01,4,0,shuffle,-0.22787051428032168
Spiral,a=0.01,5,0,shuffle,-0.16839914570254821
Spiral,a=0.01,6,0,shuffle,-0.1493134312643416
Spiral,a=0.01,7,0,shuffle,-0.22059658899653534
Spiral,a=0.01,8,0,shuffle,-0.27113948903483
Spiral,a=0.01,9,0,shuffle,-0.5722872253127651
Spiral,a=0.01,10,0,shuffle,-0.5968193468023344
Spiral,a=0.01,11,0,shuffle,-0.5095988375499321
Spiral,a=0.01,12,0,shuffle,-0.7156149460569166
Spiral,a=0.01,13,0,shuffle,-1.5522431130546739
Spiral,a=0.01,14,0,shuffle,-3.1079878170303203
Spiral,a=0.01,15,0,shuffle,-3.187725642278772
Spiral,a=0.01,16,0,shuffle,-2.7395428681361778
Spiral,a=0.01,17,0,shuffle,-3.101763143884492
