hmm,param,layer,seed,target,R2
Spiral,a=0.01,0,0,real,0.10768140099273993
Spiral,a=0.01,1,0,real,0.19771184212551907
Spiral,a=0.01,2,0,real,0.20126033780893426
Spiral,a=0.01,3,0,real,0.209923145018851
Spiral,a=0.01,4,0,real,0.20059061591746508
Spiral,a=0.01,5,0,real,0.18127686690886557
Spiral,a=0.01,6,0,real,0.2562119584328775
Spiral,a=0.01,7,0,real,0.28995757781531994
Spiral,a=0.01,8,0,real,0.31012499495435775
Spiral,a=0.01,9,0,real,0.3072941017320281
Spiral,a=0.01,10,0,real,0.30071428112537035
Spiral,a=0.01,11,0,real,0.2993340479457841
Spiral,a=0.01,12,0,real,0.3217639735199843
Spiral,a=0.01,13,0,real,0.32383277777730635
Spiral,a=0.01,14,0,real,0.3206379922258925
Spiral,a=0.01,15,0,real,0.30977698200405757
Spiral,a=0.01,16,0,real,0.2972018473899575
Spiral,a=0.01,17,0,real,0.27965761877441986
Spiral,a=0.01,18,0,real,0.28656733044490257
Spiral,a=0.01,19,0,real,0.28609549470507567
Spiral,a=0.01,20,0,real,0.287311539956699
Spiral,a=0.01,21,0,real,0.2857726948142192
Spiral,a=0.01,22,0,real,0.28348000343770363
Spiral,a=0.01,23,0,real,0.28283258540651146
Spiral,a=0.01,24,0,real,0.27837599532491697
Spiral,a=0.01,25,0,real,0.27859267005450994
Spiral,a=0.01,26,0,real,0.2772397106171103
Spiral,a=0.01,27,0,real,0.2759569962179199
Spiral,a=0.01,28,0,real,0.2732750176279287
Spiral,a=0.01,29,0,real,0.26827198296954813
Spiral,a=0.01,30,0,real,0.2568050714129605
Spiral,a=0.01,31,0,real,0.25612698557388747
Spiral,a=0.01,0,0,shuffle,-0.004051144309529686
Spiral,a=0.01,1,0,shuffle,-0.009284001258132113
Spiral,a=0.01,2,0,shuffle,-0.02574161201761238
Spiral,a=0.01,3,0,shuffle,-0.027346664536624266
Spiral,a=0.01,4,0,shuffle,-0.03431418393596197
Spiral,a=0.01,5,0,shuffle,-0.04544377724947224
Spiral,a=0.01,6,0,shuffle,-0.05986547495883965
Spiral,a=0.01,7,0,shuffle,-0.06293948047099174
Spiral,a=0.01,8,0,shuffle,-0.08218737411248744
Spiral,a=0.01,9,0,shuffle,-0.07834844559664056
Spiral,a=0.01,10,0,shuffle,-0.09307764089788328
