hmm,param,layer,seed,target,R2
Spiral,a=0.01,0,0,real,0.37635291398116266
Spiral,a=0.01,1,0,real,0.4426304106104312
Spiral,a=0.01,2,0,real,0.503639680894792
Spiral,a=0.01,3,0,real,0.5035414348146046
Spiral,a=0.01,4,0,real,0.5297639863689473
Spiral,a=0.01,5,0,real,0.6430143521704383
Spiral,a=0.01,6,0,real,0.7215121217238023
Spiral,a=0.01,7,0,real,0.9090386605901577
Spiral,a=0.01,8,0,real,0.9482850414857862
Spiral,a=0.01,9,0,real,0.9487452669450851
Spiral,a=0.01,10,0,real,0.9513646901769557
Spiral,a=0.01,11,0,real,0.9520091080965074
Spiral,a=0.01,12,0,real,0.9563929378947799
Spiral,a=0.01,13,0,real,0.9461585873559174
Spiral,a=0.01,14,0,real,0.9411348738977318
Spiral,a=0.01,15,0,real,0.9468201536408688
Spiral,a=0.01,16,0,real,0.9527355025514282
Spiral,a=0.01,17,0,real,0.9503345760866495
Spiral,a=0.01,18,0,real,0.9508532090224449
Spiral,a=0.01,19,0,real,0.9607998405213382
Spiral,a=0.01,20,0,real,0.9586381009875156
Spiral,a=0.01,21,0,real,0.9605611990652259
Spiral,a=0.01,22,0,real,0.9602162619869612
Spiral,a=0.01,23,0,real,0.9613687632073097
Spiral,a=0.01,24,0,real,0.9614520276693933
Spiral,a=0.01,25,0,real,0.9641465218766323
Spiral,a=0.01,26,0,real,0.959748941566674
Spiral,a=0.01,27,0,real,0.9660886699056559
Spiral,a=0.01,28,0,real,0.9664337395646116
Spiral,a=0.01,29,0,real,0.9669441259814153
Spiral,a=0.01,30,0,real,0.9655649685994376
Spiral,a=0.01,31,0,real,0.9688080817067981
Spiral,a=0.01,0,0,shuffle,-0.013308701987768679
Spiral,a=0.01,1,0,shuffle,-0.020096271612926264
Spiral,a=0.01,2,0,shuffle,-0.032929413715508504
Spiral,a=0.01,3,0,shuffle,-0.03331175391653063
Spiral,a=0.01,4,0,shuffle,-0.03977175066324268
Spiral,a=0.01,5,0,shuffle,-0.0824770404830586
Spiral,a=0.01,6,0,shuffle,-0.23030817566348816
Spiral,a=0.01,7,0,shuffle,-0.47385427428324256
Spiral,a=0.01,8,0,shuffle,-0.7362954024439934
Spiral,a=0.01,9,0,shuffle,-0.9133841753612066
Spiral,a=0.01,10,0,shuffle,-1.7301831751631225
Spiral,a=0.01,11,0,shuffle,-1.4628938956208826
Spiral,a=0.01,12,0,shuffle,-1.8531220467039717
Spiral,a=0.01,13,0,shuffle,-1.857585674469585
Spiral,a=0.01,14,0,shuffle,-2.759857359933634
Spiral,a=0.01,15,0,shuffle,-2.308739105821263
Spiral,a=0.01,16,0,shuffle,-2.2208539893476043
Spiral,a=0.01,17,0,shuffle,-2.0101760475266337
Spiral,a=0.01,18,0,shuffle,-1.832135063131621
Spiral,a=0.01,19,0,shuffle,-1.8825413784407434
