hmm,param,source,KL_mean,KL_std
Arch,a=0.9,LLM,0.009504100605080059,0.0007424615329675363
Arch,a=0.9,Order-0,0.04564510529515078,0.0019488116881668269
Arch,a=0.9,Order-1,0.02615527447254567,0.001029999554501097
Arch,a=0.91,LLM,0.01000643737027399,0.0005961810966813297
Arch,a=0.91,Order-0,0.04796866412671889,0.0028101607254556126
Arch,a=0.91,Order-1,0.02834761153413422,0.001363172375575746
Arch,a=0.92,LLM,0.010228740116188711,0.0007205857414244068
Arch,a=0.92,Order-0,0.05105450481714644,0.0033573281476490416
Arch,a=0.92,Order-1,0.03105076471363869,0.0017087147174562679
Arch,a=0.93,LLM,0.010279095535514472,0.0006720656347522921
Arch,a=0.93,Order-0,0.055175367323416415,0.003138663031650061
Arch,a=0.93,Order-1,0.03460874951342682,0.001878523531534994
Arch,a=0.94,LLM,0.01083166886886265,0.0007625652980748855
Arch,a=0.94,Order-0,0.059179745160429155,0.003837316245691887
Arch,a=0.94,Order-1,0.03831823893648194,0.0022098532261976547
Arch,a=0.95,LLM,0.010859516348581764,0.0011273617134979392
Arch,a=0.95,Order-0,0.06461381072486655,0.00406999734457244
Arch,a=0.95,Order-1,0.04323920085728598,0.0021847822028387637
Arch,a=0.96,LLM,0.011264712066418863,0.0011953677161828501
Arch,a=0.96,Order-0,0.07244103087056038,0.006073674318134274
Arch,a=0.96,Order-1,0.049730762747275184,0.003144002672757535
Arch,a=0.97,LLM,0.011660966350286815,0.000940171979001975
Arch,a=0.97,Order-0,0.08238586513249826,0.007804567201547172
Arch,a=0.97,Order-1,0.058632447498163195,0.004267654629563297
Arch,a=0.98,LLM,0.012748186693152596,0.0009859367369149936
Arch,a=0.98,Order-0,0.09029318187575539,0.006835967173443153
Arch,a=0.98,Order-1,0.06715753938683332,0.004082905803069451
Arch,a=0.99,LLM,0.013714279129051748,0.0009545694338517008
Arch,a=0.99,Order-0,0.10421944831699584,0.021465801851210137
Arch,a=0.99,Order-1,0.08117211567185992,0.013605166760582262
Mess3,"a=0.005, x=0.01",LLM,0.01663787503530734,0.0013068455554881022
Mess3,"a=0.005, x=0.01",Order-0,0.2906371799758142,0.0012270425258451667
Mess3,"a=0.005, x=0.01",Order-1,0.23838952495426008,0.0011510293927910213
Mess3,"a=0.005, x=0.02",LLM,0.01809268726426623,0.0010166201316109647
Mess3,"a=0.005, x=0.02",Order-0,0.23766497114839774,0.0013284093103739854
Mess3,"a=0.005, x=0.02",Order-1,0.18851290573490462,0.0012703055000395458
Mess3,"a=0.01, x=0.02",LLM,0.018136798033064554,0.0012450821519514035
Mess3,"a=0.01, x=0.02",Order-0,0.22165253754335548,0.001546017534492894
Mess3,"a=0.01, x=0.02",Order-1,0.17535685512293955,0.0014259034603357895
Mess3,"a=0.05, x=0.02",LLM,0.021366002624932823,0.0012446768926255665
Mess3,"a=0.05, x=0.02",Order-0,0.1330748899134216,0.0014134070902872176
Mess3,"a=0.05, x=0.02",Order-1,0.10562866045785309,0.0011367976200717294
Mess3,"a=0.1, x=0.02",LLM,0.01856864917779513,0.0011596205496493383
Mess3,"a=0.1, x=0.02",Order-0,0.067778711072876,0.0009211939205213876
Mess3,"a=0.1, x=0.02",Order-1,0.0550864606497366,0.0007397811131464287
Mess3,"a=0.6, x=0.02",LLM,0.017104029186575713,0.0010407806261847243
Mess3,"a=0.6, x=0.02",Order-0,0.0720098473967383,0.0008863909983766163
Mess3,"a=0.6, x=0.02",Order-1,0.05034968689518805,0.0005560915187442545
Mess3,"a=0.7, x=0.02",LLM,0.022964181835793712,0.0013797817380286073
Mess3,"a=0.7, x=0.02",Order-0,0.17207970147767349,0.00214938819098018
Mess3,"a=0.7, x=0.02",Order-1,0.09646310555653895,0.0005033316510032042
Mess3,"a=0.8, x=0.02",LLM,0.025166366275861697,0.0016405046734467613
Mess3,"a=0.8, x=0.02",Order-0,0.32314960728301206,0.002325739768662662
Mess3,"a=0.8, x=0.02",Order-1,0.12905544994508178,0.0014926586114043245
Mess3,"a=0.85, x=0.02",LLM,0.02506195351504669,0.001976279222782154
Mess3,"a=0.85, x=0.02",Order-0,0.42169941057040783,0.001871592415156373
Mess3,"a=0.85, x=0.02",Order-1,0.13030324277852395,0.002123135210784997
Mess3,"a=0.9, x=0.02",LLM,0.025202873569007585,0.0017852666961896177
Mess3,"a=0.9, x=0.02",Order-0,0.5408069689360198,0.0012925069709767195
Mess3,"a=0.9, x=0.02",Order-1,0.11345561691016037,0.0028929616574124885
Spiral,a=0.01,LLM,0.013992141150981264,0.0010133305359035527
Spiral,a=0.01,Order-0,0.07091605120019333,0.0010231329684528318
Spiral,a=0.01,Order-1,0.06539362551175623,0.0006903274591176207
Spiral,a=0.02,LLM,0.01340087168870695,0.0007834757767224751
Spiral,a=0.02,Order-0,0.05566298423027436,0.0011163666201190003
Spiral,a=0.02,Order-1,0.05121683276556268,0.0009273379031271857
Spiral,a=0.03,LLM,0.012172519816112812,0.0011337799246361596
Spiral,a=0.03,Order-0,0.04596358862250433,0.001320150289455772
Spiral,a=0.03,Order-1,0.0422646229143611,0.0011315464312544451
Spiral,a=0.04,LLM,0.011492823326936486,0.0007424250334367789
Spiral,a=0.04,Order-0,0.03912372751508039,0.0011461568996932864
Spiral,a=0.04,Order-1,0.03601651457724973,0.0010205190478716358
Spiral,a=0.05,LLM,0.010423515130284467,0.0012525093383486108
Spiral,a=0.05,Order-0,0.033420884772431006,0.0010340690534644179
Spiral,a=0.05,Order-1,0.0308676395164851,0.0009462591813910672
Spiral,a=0.06,LLM,0.010135962021711463,0.0013720273111794581
Spiral,a=0.06,Order-0,0.028932788148307197,0.0008803800925094888
Spiral,a=0.06,Order-1,0.026850389139345354,0.0008310078477131303
Spiral,a=0.07,LLM,0.009884305813221823,0.0011097658028588362
Spiral,a=0.07,Order-0,0.025316353655127338,0.0007731831452253728
Spiral,a=0.07,Order-1,0.023638481684221793,0.0007242786121596091
Spiral,a=0.08,LLM,0.00985674591465736,0.0009072849691127052
Spiral,a=0.08,Order-0,0.022367250646634494,0.0008855766924808846
Spiral,a=0.08,Order-1,0.021010633161025794,0.0008255530088634305
Spiral,a=0.09,LLM,0.00972511633043356,0.000936021146123033
Spiral,a=0.09,Order-0,0.020041141761482743,0.0008362968384328281
Spiral,a=0.09,Order-1,0.018960769846944538,0.0007814869306494061
Spiral,a=0.1,LLM,0.009553358481641882,0.000859887768846076
Spiral,a=0.1,Order-0,0.017963813046435257,0.00045738112256004315
Spiral,a=0.1,Order-1,0.017122344638069803,0.0004291262349161264
Strata,"a=0.9, t0=0.38, t1=0.54",LLM,0.008002413783676129,0.0008016370008669454
Strata,"a=0.9, t0=0.38, t1=0.54",Order-0,0.04994084861670629,0.001501201986289269
Strata,"a=0.9, t0=0.38, t1=0.54",Order-1,0.02984781101913998,0.0008085932084595543
Strata,"a=0.91, t0=0.38, t1=0.54",LLM,0.008036801685130749,0.0011206617420201884
Strata,"a=0.91, t0=0.38, t1=0.54",Order-0,0.0543019137381837,0.00187504158060083
Strata,"a=0.91, t0=0.38, t1=0.54",Order-1,0.03362572628268122,0.0010183198202968567
Strata,"a=0.92, t0=0.38, t1=0.54",LLM,0.008133414435999829,0.0011540727288810652
Strata,"a=0.92, t0=0.38, t1=0.54",Order-0,0.05958562470172559,0.002506380791381178
Strata,"a=0.92, t0=0.38, t1=0.54",Order-1,0.03812305747681943,0.0013500426824541762
Strata,"a=0.93, t0=0.38, t1=0.54",LLM,0.008512657809738169,0.000989773106571977
Strata,"a=0.93, t0=0.38, t1=0.54",Order-0,0.0662283492339187,0.0035919433990195455
Strata,"a=0.93, t0=0.38, t1=0.54",Order-1,0.04365025667012164,0.002039539759418057
Strata,"a=0.94, t0=0.38, t1=0.54",LLM,0.009010245438130107,0.001128791580901996
Strata,"a=0.94, t0=0.38, t1=0.54",Order-0,0.07326049534365014,0.00415934850572237
Strata,"a=0.94, t0=0.38, t1=0.54",Order-1,0.0497728279778535,0.0023778627365826617
Strata,"a=0.95, t0=0.38, t1=0.54",LLM,0.009495850738616212,0.0011479409422371456
Strata,"a=0.95, t0=0.38, t1=0.54",Order-0,0.0804861752338254,0.005020136950366821
Strata,"a=0.95, t0=0.38, t1=0.54",Order-1,0.05638235277003266,0.0028951921421527553
Strata,"a=0.96, t0=0.38, t1=0.54",LLM,0.00999601926513249,0.0012307056165349838
Strata,"a=0.96, t0=0.38, t1=0.54",Order-0,0.09036314871848225,0.0063795140693477395
Strata,"a=0.96, t0=0.38, t1=0.54",Order-1,0.06522538619525543,0.003932659102369951
Strata,"a=0.97, t0=0.38, t1=0.54",LLM,0.010425791828492858,0.0015154506955457506
Strata,"a=0.97, t0=0.38, t1=0.54",Order-0,0.1006865170407445,0.007736666337373227
Strata,"a=0.97, t0=0.38, t1=0.54",Order-1,0.07506034011234733,0.004663337361490009
Strata,"a=0.98, t0=0.38, t1=0.54",LLM,0.010715790474661677,0.0021059020788172745
Strata,"a=0.98, t0=0.38, t1=0.54",Order-0,0.11651326894026673,0.014307443186775813
Strata,"a=0.98, t0=0.38, t1=0.54",Order-1,0.0891022394776978,0.008772163549514942
Strata,"a=0.99, t0=0.38, t1=0.54",LLM,0.010529577808467357,0.001588445352618582
Strata,"a=0.99, t0=0.38, t1=0.54",Order-0,0.13738968138343713,0.029858532633247625
Strata,"a=0.99, t0=0.38, t1=0.54",Order-1,0.10833912190443407,0.018508516016777093
Wing,"x=0.9, y=0.4",LLM,0.01055467579827615,0.001045852458329634
Wing,"x=0.9, y=0.4",Order-0,0.039708084409066285,0.0005933670855038001
Wing,"x=0.9, y=0.4",Order-1,0.021909205842946124,0.0005350365064780767
Wing,"x=0.91, y=0.4",LLM,0.010658195951102636,0.0013360699179051075
Wing,"x=0.91, y=0.4",Order-0,0.04454340028747569,0.0006598634149920272
Wing,"x=0.91, y=0.4",Order-1,0.025431052311804397,0.0006388474481846013
Wing,"x=0.92, y=0.4",LLM,0.01078635520857718,0.0015325978711800618
Wing,"x=0.92, y=0.4",Order-0,0.05003294473080797,0.0010701570428687014
Wing,"x=0.92, y=0.4",Order-1,0.02952947584821854,0.0008741306552561531
Wing,"x=0.93, y=0.4",LLM,0.011155715485888975,0.001429194617873119
Wing,"x=0.93, y=0.4",Order-0,0.05620916214130217,0.0013262868826922794
Wing,"x=0.93, y=0.4",Order-1,0.034294305200339006,0.0010518031485319875
Wing,"x=0.94, y=0.4",LLM,0.01140476765257235,0.0007747118287233006
Wing,"x=0.94, y=0.4",Order-0,0.06389078272681377,0.0013182777536048726
Wing,"x=0.94, y=0.4",Order-1,0.040181340600269025,0.0010658658585408947
Wing,"x=0.95, y=0.4",LLM,0.01298665584227007,0.0010436082554779714
Wing,"x=0.95, y=0.4",Order-0,0.07236086215133822,0.0014451369089247426
Wing,"x=0.95, y=0.4",Order-1,0.046791944084479974,0.001322366343938837
Wing,"x=0.96, y=0.4",LLM,0.013235329221674141,0.002115938196056254
Wing,"x=0.96, y=0.4",Order-0,0.08335737298410491,0.002331718551437623
Wing,"x=0.96, y=0.4",Order-1,0.05595986775626018,0.0026365396454467215
Wing,"x=0.97, y=0.4",LLM,0.013069909192299434,0.0016757874304458408
Wing,"x=0.97, y=0.4",Order-0,0.09576036605210922,0.003330783971374322
Wing,"x=0.97, y=0.4",Order-1,0.06627149070404889,0.0036571462238444976
Wing,"x=0.98, y=0.4",LLM,0.011440654729371256,0.0014280118227097106
Wing,"x=0.98, y=0.4",Order-0,0.11319067999662995,0.004194462901316819
Wing,"x=0.98, y=0.4",Order-1,0.08189115934034441,0.004656974229645054
Wing,"x=0.99, y=0.4",LLM,0.010089777543523165,0.0014937659085289732
Wing,"x=0.99, y=0.4",Order-0,0.13322615811373875,0.004897180803463585
Wing,"x=0.99, y=0.4",Order-1,0.10016099567640915,0.006330545316580769
