hmm,param,layer,seed,target,R2
Spiral,a=0.01,0,0,real,0.32166033329967547
Spiral,a=0.01,1,0,real,0.3930852942042813
Spiral,a=0.01,2,0,real,0.4385421372649867
Spiral,a=0.01,3,0,real,0.42002963019351147
Spiral,a=0.01,4,0,real,0.5017829451350493
Spiral,a=0.01,5,0,real,0.7284414098803434
Spiral,a=0.01,6,0,real,0.7927608942538832
Spiral,a=0.01,7,0,real,0.7927152258877996
Spiral,a=0.01,8,0,real,0.7625281025609074
Spiral,a=0.01,9,0,real,0.7411407006297083
Spiral,a=0.01,10,0,real,0.7397482548744541
Spiral,a=0.01,11,0,real,0.7292292573796382
Spiral,a=0.01,12,0,real,0.7214390280947425
Spiral,a=0.01,13,0,real,0.6965706481441188
Spiral,a=0.01,14,0,real,0.7174203027918735
Spiral,a=0.01,15,0,real,0.7520153022663995
Spiral,a=0.01,16,0,real,0.7606309259023336
Spiral,a=0.01,17,0,real,0.7715202856639635
Spiral,a=0.01,18,0,real,0.7757635041691855
Spiral,a=0.01,19,0,real,0.7805276056939331
Spiral,a=0.01,20,0,real,0.7905648882934189
Spiral,a=0.01,21,0,real,0.8087711870005344
Spiral,a=0.01,22,0,real,0.8107820800119471
Spiral,a=0.01,23,0,real,0.8195754981427794
Spiral,a=0.01,24,0,real,0.8222408852062737
Spiral,a=0.01,25,0,real,0.8367868658870093
Spiral,a=0.01,26,0,real,0.83884847290681
Spiral,a=0.01,27,0,real,0.8480459666802147
Spiral,a=0.01,28,0,real,0.8552765236233639
Spiral,a=0.01,29,0,real,0.8573930872336704
Spiral,a=0.01,30,0,real,0.8574309674311517
Spiral,a=0.01,31,0,real,0.8655213594008893
Spiral,a=0.01,0,0,shuffle,-0.05452775344685401
Spiral,a=0.01,1,0,shuffle,-0.0665333813199398
Spiral,a=0.01,2,0,shuffle,-0.12465442911161584
Spiral,a=0.01,3,0,shuffle,-0.3228456639867676
Spiral,a=0.01,4,0,shuffle,-0.4002928444521916
Spiral,a=0.01,5,0,shuffle,-0.6114152324966851
Spiral,a=0.01,6,0,shuffle,-0.9634777771429701
Spiral,a=0.01,7,0,shuffle,-1.89473793381269
Spiral,a=0.01,8,0,shuffle,-2.1840830997989196
Spiral,a=0.01,9,0,shuffle,-2.242717977886132
Spiral,a=0.01,10,0,shuffle,-2.1109983822108944
Spiral,a=0.01,11,0,shuffle,-2.069358477538787
Spiral,a=0.01,12,0,shuffle,-2.024141896734909
Spiral,a=0.01,13,0,shuffle,-1.9126557639058963
Spiral,a=0.01,14,0,shuffle,-1.8436598545336245
Spiral,a=0.01,15,0,shuffle,-1.6696758975381631
Spiral,a=0.01,16,0,shuffle,-1.7338896431778537
Spiral,a=0.01,17,0,shuffle,-1.7810252030363536
Spiral,a=0.01,18,0,shuffle,-1.7706753314272121
Spiral,a=0.01,19,0,shuffle,-1.713001641078864
Spiral,a=0.01,20,0,shuffle,-1.5732655164679819
