hmm,param,layer,seed,R2,target
Mess3,"a=0.005, x=0.01",0,0,0.9508897110409724,real
Mess3,"a=0.005, x=0.01",1,0,0.9775688118108092,real
Mess3,"a=0.005, x=0.01",2,0,0.9825818904502048,real
Mess3,"a=0.005, x=0.01",3,0,0.985014887643285,real
Mess3,"a=0.005, x=0.01",4,0,0.986414832450462,real
Mess3,"a=0.005, x=0.01",5,0,0.985137067369024,real
Mess3,"a=0.005, x=0.01",6,0,0.9846370200113186,real
Mess3,"a=0.005, x=0.01",7,0,0.980228496394558,real
Mess3,"a=0.005, x=0.01",8,0,0.9736217054389096,real
Mess3,"a=0.005, x=0.01",9,0,0.9708292898115976,real
Mess3,"a=0.005, x=0.01",10,0,0.9691954489705016,real
Mess3,"a=0.005, x=0.01",11,0,0.9726748897852256,real
Mess3,"a=0.005, x=0.01",12,0,0.9737744284530878,real
Mess3,"a=0.005, x=0.01",13,0,0.9748663436213074,real
Mess3,"a=0.005, x=0.01",14,0,0.9765344902107956,real
Mess3,"a=0.005, x=0.01",15,0,0.9774273663185165,real
Mess3,"a=0.005, x=0.01",16,0,0.9776856633017766,real
Mess3,"a=0.005, x=0.01",17,0,0.9773142542855636,real
Mess3,"a=0.005, x=0.01",18,0,0.9773249206130808,real
Mess3,"a=0.005, x=0.01",19,0,0.9777993766711236,real
Mess3,"a=0.005, x=0.01",20,0,0.9777680365298124,real
Mess3,"a=0.005, x=0.01",21,0,0.9797049821305168,real
Mess3,"a=0.005, x=0.01",22,0,0.9799084211332664,real
Mess3,"a=0.005, x=0.01",23,0,0.9805076791380462,real
Mess3,"a=0.005, x=0.01",24,0,0.9808182496697184,real
Mess3,"a=0.005, x=0.01",25,0,0.9810734134603454,real
Mess3,"a=0.005, x=0.01",26,0,0.981326114400549,real
Mess3,"a=0.005, x=0.01",27,0,0.9814944672319904,real
Mess3,"a=0.005, x=0.01",0,1,0.9502719261882674,real
Mess3,"a=0.005, x=0.01",1,1,0.9792847047892562,real
Mess3,"a=0.005, x=0.01",2,1,0.9835145890531404,real
Mess3,"a=0.005, x=0.01",3,1,0.9853807271862058,real
Mess3,"a=0.005, x=0.01",4,1,0.987682549961465,real
Mess3,"a=0.005, x=0.01",5,1,0.987469332207854,real
Mess3,"a=0.005, x=0.01",6,1,0.9866822371401348,real
Mess3,"a=0.005, x=0.01",7,1,0.9824313531762148,real
Mess3,"a=0.005, x=0.01",8,1,0.9768565970565762,real
Mess3,"a=0.005, x=0.01",9,1,0.9717568647795845,real
Mess3,"a=0.005, x=0.01",10,1,0.9715565170782092,real
Mess3,"a=0.005, x=0.01",11,1,0.9710605729202902,real
Mess3,"a=0.005, x=0.01",12,1,0.9732591841625932,real
Mess3,"a=0.005, x=0.01",13,1,0.974961911190574,real
Mess3,"a=0.005, x=0.01",14,1,0.9773480438246404,real
Mess3,"a=0.005, x=0.01",15,1,0.9788382351599356,real
Mess3,"a=0.005, x=0.01",16,1,0.9800677026311312,real
Mess3,"a=0.005, x=0.01",17,1,0.979795004628553,real
Mess3,"a=0.005, x=0.01",18,1,0.9806026797911304,real
Mess3,"a=0.005, x=0.01",19,1,0.9805578760027884,real
Mess3,"a=0.005, x=0.01",20,1,0.9811117856187832,real
Mess3,"a=0.005, x=0.01",21,1,0.9825376477541616,real
Mess3,"a=0.005, x=0.01",22,1,0.9825494760838916,real
Mess3,"a=0.005, x=0.01",23,1,0.9830630760612052,real
Mess3,"a=0.005, x=0.01",24,1,0.9832426784178064,real
Mess3,"a=0.005, x=0.01",25,1,0.983764821167708,real
Mess3,"a=0.005, x=0.01",26,1,0.983881247833606,real
Mess3,"a=0.005, x=0.01",27,1,0.9839507078813868,real
Mess3,"a=0.005, x=0.01",0,2,0.9528127866768344,real
Mess3,"a=0.005, x=0.01",1,2,0.9801659455782242,real
Mess3,"a=0.005, x=0.01",2,2,0.9842693294354744,real
Mess3,"a=0.005, x=0.01",3,2,0.9849801090133002,real
Mess3,"a=0.005, x=0.01",4,2,0.9867111807964056,real
Mess3,"a=0.005, x=0.01",5,2,0.9858005835953518,real
Mess3,"a=0.005, x=0.01",6,2,0.9857105770659564,real
