Top-50 tokens by mean probability over 50 sequences × 500 positions

 Rank    Token ID               Surface form     Mean prob
------------------------------------------------------------
    1         426                       ' B'      0.369849
    2         356                       ' C'      0.304063
    3         362                       ' A'      0.299927
    4         198                       '\n'      0.005935
    5         423                       ' D'      0.004699
    6      128001          '<|end_of_text|>'      0.000830
    7         220                        ' '      0.000785
    8         469                       ' E'      0.000735
    9       14924                 'Question'      0.000575
   10         435                       ' F'      0.000545
   11         328                       ' S'      0.000263
   12         480                       ' G'      0.000233
   13         755                      'def'      0.000212
   14          13                        '.'      0.000200
   15         482                       ' -'      0.000185
   16         507                       ' O'      0.000168
   17         432                       ' R'      0.000160
   18         452                       ' N'      0.000159
   19           2                        '#'      0.000138
   20        1044                       '++'      0.000137
   21         350                       ' T'      0.000135
   22         358                       ' I'      0.000135
   23         386                       ' M'      0.000127
   24       29334                      ' AA'      0.000116
   25         473                       ' H'      0.000115
   26         393                       ' P'      0.000114
   27         445                       ' L'      0.000108
   28         489                       ' +'      0.000100
   29          12                        '-'      0.000097
   30         549                       ' U'      0.000095
   31         320                       ' ('      0.000080
   32          10                        '+'      0.000080
   33       13844                      ' CC'      0.000074
   34         627                      '.\n'      0.000074
   35       18149                ' Comments'      0.000073
   36         271                     '\n\n'      0.000069
   37         662                        '.'      0.000068
   38         468                       ' W'      0.000068
   39       14469                      ' AB'      0.000062
   40       18772                      ' BB'      0.000055
   41         791                      'The'      0.000054
   42         735                       ' K'      0.000050
   43         720                      ' \n'      0.000049
   44         256                       '  '      0.000049
   45        9362                      ' CA'      0.000049
   46         650                       ' V'      0.000049
   47         816                       ' Y'      0.000046
   48         674                       ' #'      0.000040
   49          11                        ','      0.000040
   50       18531                      ' BC'      0.000039
